4581/1000	0.021914052831657115+0.*I
4591/1000	0.0219705673534044-8.37161696920077*^-17*I
4601/1000	0.02202705917407806+0.*I
4611/1000	0.02208352813954461+0.*I
4621/1000	0.022139974126292913
4631/1000	0.02219639692291956
4641/1000	0.022252796407696042-2.6308040536580015*^-17*I
4651/1000	0.022309172430306903+1.5880277274163296*^-17*I
4661/1000	0.022365524841381886+0.*I
4671/1000	0.022421853492485405-3.19813264886455*^-16*I
4681/1000	0.02247815823611518-5.762852540500346*^-17*I
4691/1000	0.022534438925696655+0.*I
4701/1000	0.022590695415576567+8.390841326673981*^-17*I
4711/1000	0.022646927561018916-1.255798655928824*^-16*I
4721/1000	0.022703135218202178
4731/1000	0.022759318244209424+2.713631249427033*^-16*I
4741/1000	0.022815476497030383-4.169194278115282*^-17*I
4751/1000	0.02287160983554863
4761/1000	0.02292771811954635-4.169194278115282*^-17*I
4771/1000	0.022983801209690832+4.169194278115282*^-17*I
4781/1000	0.02303985896753448
4791/1000	0.023095891255510113
4801/1000	0.023151897936923814+0.*I
4811/1000	0.023207878875953547+0.*I
4821/1000	0.023263833937641643-4.169194278115282*^-17*I
4831/1000	0.023319762987893233+4.161035385203118*^-17*I
4841/1000	0.023375665893469295
4851/1000	0.023431542521983158+0.*I
4861/1000	0.02348739274189527+0.*I
4871/1000	0.023543216422511407+0.*I
4881/1000	0.023599013433974296+0.*I
4891/1000	0.023654783647263304-9.370876262762845*^-17*I
4901/1000	0.023710526934185135+8.38879228117296*^-17*I
4911/1000	0.02376624316737657-5.911758260394187*^-16*I
4921/1000	0.023821932220292198-5.911758260394187*^-16*I
4931/1000	0.023877593967207192+0.*I
4941/1000	0.023933228283208298-2.1370644686285618*^-16*I
4951/1000	0.023988835044191685+5.760037273015979*^-17*I
4961/1000	0.024044414126857684+0.*I
4971/1000	0.02409996540870888+0.*I
4981/1000	0.024155488768042813+0.*I
4991/1000	0.024210984083949727
5001/1000	0.02426645123631064+8.38879228117296*^-17*I
5011/1000	0.0243218901057871
5021/1000	0.02437730057382284+0.*I
5031/1000	0.024432682522638943+4.169194278115282*^-17*I
5041/1000	0.02448803583522547
5051/1000	0.024543360395344438-8.390841326673981*^-17*I
5061/1000	0.024598656087520432+0.*I
5071/1000	0.024653922797037563+1.2568194497701427*^-16*I
5081/1000	0.024709160409939222+0.*I
5091/1000	0.024764368813019556-8.390841326673981*^-17*I
5101/1000	0.02481954789382028+0.*I
5111/1000	0.024874697540630743
5121/1000	0.024929817642479986+5.760037273015979*^-17*I
5131/1000	0.02498490808913484
5141/1000	0.025039968771095968+0.*I
5151/1000	0.025094999579593373-8.390841326673981*^-17*I
5161/1000	0.025150000406583446+0.*I
5171/1000	0.025204971144745764
5181/1000	0.025259911687476586-5.760037273015979*^-17*I
5191/1000	0.025314821928890126+4.161035385203118*^-17*I
5201/1000	0.025369701763810135-8.38879228117296*^-17*I
5211/1000	0.025424551087769254
5221/1000	0.025479369797003763
5231/1000	0.02553415778845139
5241/1000	0.025588914959745822
5251/1000	0.025643641209215542+5.760037273015979*^-17*I
5261/1000	0.02569833643587832+0.*I
5271/1000	0.025753000539439776
5281/1000	0.025807633420287357+0.*I
5291/1000	0.02586223497948969+5.754406738047244*^-17*I
5301/1000	0.025916805118790055+3.2896349767286313*^-16*I
5311/1000	0.02597134374060525+0.*I
5321/1000	0.026025850748021495
5331/1000	0.02608032604479186
5341/1000	0.026134769535331233+0.*I
5351/1000	0.02618918112471423-8.392890372174998*^-17*I
5361/1000	0.026243560718671982+0.*I
5371/1000	0.02629790822358717+8.390841326673981*^-17*I
5381/1000	0.026352223546492963-8.38879228117296*^-17*I
5391/1000	0.02640650659506897+4.169194278115282*^-17*I
5401/1000	0.02646075727763781
5411/1000	0.026514975503160024+0.*I
5421/1000	0.026569161181235625-5.754406738047244*^-17*I
5431/1000	0.026623314222095684
5441/1000	0.026677434536602644+0.*I
5451/1000	0.026731522036245785+2.7135898420683785*^-16*I
5461/1000	0.02678557663313766+0.*I
5471/1000	0.02683959824001248+0.*I
5481/1000	0.026893586770221953-4.169194278115282*^-17*I
5491/1000	0.026947542137731324-2.6681740652008185*^-17*I
5501/1000	0.0270014642571191
5511/1000	0.027055353043571442-6.16812304159521*^-17*I
5521/1000	0.02710920841287963+0.*I
5531/1000	0.0271630302814374+8.625350921411265*^-16*I
5541/1000	0.02721681856623788+5.754406738047244*^-17*I
5551/1000	0.02727057318487066-8.38879228117296*^-17*I
5561/1000	0.02732429405551974+0.*I
5571/1000	0.02737798109695809-1.1494877224283691*^-16*I
5581/1000	0.027431634228547448+0.*I
5591/1000	0.027485253370234046
5601/1000	0.027538838442544365+5.74877620307851*^-17*I
5611/1000	0.0275923893665862-6.328677688205716*^-16*I
5621/1000	0.027645906064040847+0.*I
5631/1000	0.02769938845716414
5641/1000	0.027752836468781107-6.159964148683047*^-17*I
5651/1000	0.027806250022286677+0.*I
5661/1000	0.02785962904163719-5.760037273015979*^-17*I
5671/1000	0.027912973451352588+0.*I
5681/1000	0.02796628317651248-8.390841326673981*^-17*I
5691/1000	0.02801955814275057+5.284756383563252*^-17*I
5701/1000	0.02807279827625553+0.*I
5711/1000	0.02812600350376661
5721/1000	0.028179173752571784+0.*I
5731/1000	0.02823230895050241
5741/1000	0.028285409025934544+5.911758260394187*^-16*I
5751/1000	0.028338473907783233+2.713631249427033*^-16*I
5761/1000	0.028391503525500683-4.161035385203118*^-17*I
5771/1000	0.028444497809074536-2.404444928645517*^-16*I
5781/1000	0.028497456689023447+0.*I
5791/1000	0.028550380096396162-5.911761079342886*^-16*I
5801/1000	0.02860326796276766+0.*I
5811/1000	0.028656120220237724
5821/1000	0.028708936801426763+0.*I
5831/1000	0.028761717639475715-4.1528764922909555*^-17*I
5841/1000	0.02881446266804051+0.*I
5851/1000	0.0288671718212919+0.*I
5861/1000	0.028919845033911006+2.2967118216155055*^-16*I
5871/1000	0.028972482241089725+6.750848030958981*^-16*I
5881/1000	0.029025083378523678+0.*I
5891/1000	0.02907764838241477
5901/1000	0.029130177189465617+4.169194278115282*^-17*I
5911/1000	0.029182669736876603
5921/1000	0.02923512596234515
5931/1000	0.029287545804064626-5.754406738047244*^-17*I
5941/1000	0.029339929200717527+0.*I
5951/1000	0.029392276091475968+8.392890372174998*^-17*I
5961/1000	0.02944458641600123-3.09186320781516*^-17*I
5971/1000	0.029496860114435176+0.*I
5981/1000	0.02954909712740475+0.*I
5991/1000	0.029601297396015275+0.*I
6001/1000	0.029653460861850583
6011/1000	0.029705587466967068
6021/1000	0.029757677153896565+0.*I
6031/1000	0.029809729865639956-5.911761079342886*^-16*I
6041/1000	0.029861745545665466+0.*I
6051/1000	0.02991372413790895+0.*I
6061/1000	0.02996566558676743
6071/1000	0.0300175698371017+3.09186320781516*^-17*I
6081/1000	0.03006943683422951
6091/1000	0.0301212665239255
6101/1000	0.030173058852420616
6111/1000	0.030224813766395478+0.*I
6121/1000	0.030276531212982974+5.911758260394187*^-16*I
6131/1000	0.030328211139761627+0.*I
6141/1000	0.030379853494758295+0.*I
6151/1000	0.030431458226440715+0.*I
6161/1000	0.030483025283720183
6171/1000	0.030534554615944613+8.390841326673981*^-17*I
6181/1000	0.030586046172902406
6191/1000	0.03063749990481361+0.*I
6201/1000	0.030688915762332077+0.*I
6211/1000	0.030740293696543075+0.*I
6221/1000	0.0307916336589596-5.911758260394187*^-16*I
6231/1000	0.030842935601521453-5.760037273015979*^-17*I
6241/1000	0.03089419947659277-5.754406738047244*^-17*I
6251/1000	0.03094542523696015-4.161035385203118*^-17*I
6261/1000	0.030996612835829752
6271/1000	0.03104776222682603-5.072469223176688*^-16*I
6281/1000	0.031098873363991142
6291/1000	0.03114994620178011-2.6287550081569815*^-17*I
6301/1000	0.031200980695059645+5.754406738047244*^-17*I
6311/1000	0.03125197679910659+0.*I
6321/1000	0.03130293446960814+0.*I
6331/1000	0.03135385366265516-8.602067843166372*^-18*I
6341/1000	0.03140473433474252
6351/1000	0.03145557644276906
6361/1000	0.031506379944033595+0.*I
6371/1000	0.03155714479623174
6381/1000	0.03160787095745548
6391/1000	0.03165855838619338+4.177353171027444*^-17*I
6401/1000	0.031709207041324745+0.*I
6411/1000	0.03175981688211919-5.760037273015979*^-17*I
6421/1000	0.031810387868236985-5.754406738047244*^-17*I
6431/1000	0.03186091995972286
6441/1000	0.031911413117007674+0.*I
6451/1000	0.031961867300904494+0.*I
6461/1000	0.03201228247260901+1.2566145452200402*^-16*I
6471/1000	0.03206265859369458+0.*I
6481/1000	0.03211299562611364+3.09186320781516*^-17*I
6491/1000	0.03216329353219324+0.*I
6501/1000	0.03221355227463297
6511/1000	0.03226377181650803
6521/1000	0.03231395212126037+0.*I
6531/1000	0.03236409315270155+9.457964458560919*^-17*I
6541/1000	0.03241419487501023+0.*I
6551/1000	0.03246425725272845-5.528020214370531*^-19*I
