1671/1000	0.005874408292134675-1.249060608867821*^-14*I
1681/1000	0.005926680255521427-1.6893810925075031*^-15*I
1691/1000	0.005979055625424418+2.504486708147843*^-16*I
1701/1000	0.006031533342698042+1.0017733052873074*^-16*I
1711/1000	0.006084112356795832+1.0169489417265029*^-17*I
1721/1000	0.006136791625707849-1.9557022443804077*^-17*I
1731/1000	0.006189570115788273+3.679323316524341*^-16*I
1741/1000	0.006242446801750318-4.4266705878698366*^-16*I
1751/1000	0.006295420666485765-4.793417207862858*^-16*I
1761/1000	0.006348490701070922-2.595036030550715*^-17*I
1771/1000	0.006401655904556602-1.8452068515969738*^-16*I
1781/1000	0.006454915283993043+4.8181401412286205*^-17*I
1791/1000	0.006508267854268279+3.437965926407738*^-17*I
1801/1000	0.006561712638043102+2.9082497162163325*^-17*I
1811/1000	0.006615248665679127-8.423700032975694*^-16*I
1821/1000	0.006668874975134784-7.844730126764348*^-17*I
1831/1000	0.006722590649591367+4.866324502208522*^-16*I
1841/1000	0.006776394666983779-1.2128544045199095*^-15*I
1851/1000	0.006830286124911697+2.511756951643331*^-16*I
1861/1000	0.006884264090919426+1.705363879763236*^-15*I
1871/1000	0.0069383276397978755-2.91266081985893*^-16*I
1881/1000	0.006992475853439761+1.0531462213425198*^-15*I
1891/1000	0.0070467078208305-6.267927395362515*^-15*I
1901/1000	0.007101022637910015-1.2183393615811195*^-14*I
1911/1000	0.00715541940751406-1.7122734282888805*^-15*I
1921/1000	0.007209897239348312+6.354042582356021*^-16*I
1931/1000	0.007264455249867102-6.5369179076202056*^-15*I
1941/1000	0.007319092562236909+2.899628971011254*^-16*I
1951/1000	0.0073738083062304255+1.8382848048376976*^-16*I
1961/1000	0.00742860161819045+2.046032540804085*^-16*I
1971/1000	0.007483471640962733+4.845783130403862*^-15*I
1981/1000	0.00753841752381855+6.76972726705097*^-17*I
1991/1000	0.0075934384224038-1.6081689976746585*^-16*I
2001/1000	0.00764853349864629-2.768020618522852*^-16*I
2011/1000	0.00770370192074013+1.4750529099292591*^-15*I
2021/1000	0.007758942863011389+1.2410444437532207*^-15*I
2031/1000	0.007814255505972492-9.604142100955313*^-17*I
2041/1000	0.007869639036137535-1.1013252507199669*^-15*I
2051/1000	0.007925092646021148-1.570423758314004*^-16*I
2061/1000	0.007980615534118857-1.4339696229602678*^-15*I
2071/1000	0.008036206904765517+1.6033481154952568*^-16*I
2081/1000	0.008091865968130926+7.634636668522919*^-17*I
2091/1000	0.008147591940181012-1.2660107186268471*^-14*I
2101/1000	0.008203384042569248+8.014009901831239*^-17*I
2111/1000	0.008259241502615311+5.677750301315366*^-16*I
2121/1000	0.008315163553246296-4.267766684874053*^-16*I
2131/1000	0.008371149432956568-5.325688492183989*^-15*I
2141/1000	0.008427198385732124+3.5268689222160644*^-16*I
2151/1000	0.00848330966100097+1.4456924998393572*^-17*I
2161/1000	0.008539482513602356-4.522383174691061*^-16*I
2171/1000	0.008595716203727996-5.12141275963036*^-16*I
2181/1000	0.008652009996863247-3.8119809563889727*^-16*I
2191/1000	0.008708363163734537+9.213755913895645*^-16*I
2201/1000	0.008764774980309031-1.5794127951691376*^-16*I
2211/1000	0.008821244727669833+3.7965981932522034*^-16*I
2221/1000	0.008877771692022557-1.1038394045321925*^-16*I
2231/1000	0.008934355164655503+8.040318374312293*^-15*I
2241/1000	0.008990994441841843-8.930844915238128*^-17*I
2251/1000	0.009047688824863107+2.2227474866047064*^-16*I
2261/1000	0.00910443761988737+1.1017153345405092*^-15*I
2271/1000	0.009161240138008273-1.1141884579064294*^-15*I
2281/1000	0.009218095695121123-3.050907300799593*^-16*I
2291/1000	0.00927500361196762-7.496757667702559*^-15*I
